"totalvalue","finsqft","lotsize","bedroom","fullbath","yearbuilt","esdistrict","msdistrict","hsdistrict","censustract","condition","cooling","age","fp"
213400,854,5.8,3,1,1940,"Baker-Butler","Lakeside","Albemarle","103.03","Very Poor","No Central Air",85,"No"
64400,1200,1.5,3,1,1910,"Red Hill","Walton","Monticello","112.01","Very Poor","No Central Air",115,"No"
257800,3753,2.695,4,3,1900,"Murray","Henley","Western Albemarle","110","Very Poor","Central Air",125,"Yes"
100100,1226,3.74,3,1,1754,"Stone-Robinson","Burley","Monticello","104.02","Very Poor","No Central Air",271,"No"
121600,816,13.109,2,1,1930,"Scottsville","Walton","Monticello","114","Very Poor","No Central Air",95,"No"
157100,1541,2.722,3,2,1977,"Broadus Wood","Journey","Albemarle","102.02","Very Poor","Central Air",48,"Yes"
60800,1336,5.11,3,1,1940,"Crozet","Henley","Western Albemarle","101","Very Poor","No Central Air",85,"No"
44100,1423,2.885,2,1,1754,"Scottsville","Walton","Monticello","114","Very Poor","No Central Air",271,"No"
27600,616,1.56,2,1,1956,"Red Hill","Walton","Monticello","114","Very Poor","No Central Air",69,"No"
813100,1785,55.53,3,0,1754,"Stony Point","Lakeside","Albemarle","104.01","Very Poor","No Central Air",271,"No"
34400,1536,1,1,1,1928,"Scottsville","Walton","Monticello","114","Very Poor","No Central Air",97,"No"
503100,802,15.75,2,1,1754,"Crozet","Henley","Western Albemarle","111.03","Very Poor","No Central Air",271,"No"
87500,1134,4,3,1,1920,"Crozet","Henley","Western Albemarle","101","Very Poor","No Central Air",105,"No"
51100,896,0.27,1,0,1754,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","No Central Air",271,"No"
163000,1936,34.414,3,1,1904,"Red Hill","Walton","Monticello","114","Very Poor","No Central Air",121,"No"
704000,3028,37.195,3,3,1966,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","Central Air",59,"Yes"
274900,1598,17.45,2,1,1920,"Ivy","Henley","Western Albemarle","101","Very Poor","No Central Air",105,"No"
263800,1184,6.005,3,1,1925,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","No Central Air",100,"No"
21200,720,0.7,1,0,1960,"Brownsville","Henley","Western Albemarle","112.01","Very Poor","No Central Air",65,"No"
71300,936,2.06,3,1,1973,"Scottsville","Walton","Monticello","114","Very Poor","No Central Air",52,"No"
573700,864,48.683,2,1,1955,"Ivy","Henley","Western Albemarle","101","Very Poor","No Central Air",70,"No"
158900,1440,6.28,3,0,1754,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","No Central Air",271,"No"
73500,1703,4.54,4,1,1754,"Scottsville","Walton","Monticello","114","Very Poor","No Central Air",271,"No"
40600,1160,0.386,3,1,1754,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","No Central Air",271,"No"
168400,1034,4.034,2,1,1754,"Stone-Robinson","Burley","Monticello","104.01","Very Poor","Central Air",271,"No"
229300,740,20.88,1,0,1754,"Red Hill","Walton","Monticello","112.02","Poor","No Central Air",271,"No"
184900,1024,15.07,2,1,1979,"Red Hill","Walton","Monticello","114","Poor","No Central Air",46,"No"
61900,1048,2,2,1,1754,"Red Hill","Walton","Monticello","114","Poor","No Central Air",271,"Yes"
197400,1108,2.13,2,1,1950,"Ivy","Henley","Western Albemarle","101","Poor","No Central Air",75,"No"
68400,560,0.17,3,1,1966,"Red Hill","Walton","Monticello","112.02","Poor","No Central Air",59,"No"
116000,1056,1.636,3,1,1973,"Red Hill","Walton","Monticello","114","Poor","No Central Air",52,"No"
175400,1200,1.53,5,1,1970,"Stone-Robinson","Walton","Monticello","113.01","Poor","No Central Air",55,"No"
188600,1756,2,3,1,1973,"Stone-Robinson","Walton","Monticello","113.01","Poor","No Central Air",52,"Yes"
127900,1008,3.01,3,1,1972,"Baker-Butler","Lakeside","Albemarle","102.01","Poor","No Central Air",53,"No"
320200,2774,147.98,4,2,1820,"Stone-Robinson","Burley","Monticello","104.01","Poor","No Central Air",205,"Yes"
80400,1022,0.18,3,1,1900,"Scottsville","Walton","Monticello","114","Poor","No Central Air",125,"No"
176100,1834,0,3,2,1940,"Scottsville","Walton","Monticello","114","Poor","No Central Air",85,"Yes"
192700,864,14.965,2,1,2006,"Crozet","Henley","Western Albemarle","101","Poor","Central Air",19,"Yes"
77800,444,8.389,0,0,1975,"Crozet","Henley","Western Albemarle","101","Poor","No Central Air",50,"Yes"
221500,1080,2,3,1,1980,"Scottsville","Walton","Monticello","113.01","Poor","Central Air",45,"No"
108700,640,2,3,1,1961,"Red Hill","Walton","Monticello","112.02","Poor","No Central Air",64,"No"
164700,1190,3.426,3,2,1974,"Stony Point","Lakeside","Albemarle","104.01","Poor","Central Air",51,"Yes"
99500,576,0.315,1,0,1946,"Brownsville","Henley","Western Albemarle","111.03","Poor","No Central Air",79,"No"
140700,1464,4.003,3,2,1970,"Broadus Wood","Journey","Albemarle","102.01","Poor","No Central Air",55,"No"
714900,2464,2.2,4,3,1977,"Ivy","Henley","Western Albemarle","110","Poor","Central Air",48,"Yes"
226400,1906,2.62,2,1,1991,"Broadus Wood","Journey","Albemarle","101","Poor","Central Air",34,"Yes"
195400,1320,6.217,2,1,1963,"Scottsville","Walton","Monticello","114","Poor","Central Air",62,"Yes"
465200,3080,5.23,2,3,1754,"Stone-Robinson","Burley","Monticello","104.01","Poor","Central Air",271,"No"
288600,2044,0,3,2,1988,"Stony Point","Burley","Monticello","105.01","Poor","Central Air",37,"Yes"
180400,1232,2,3,2,2002,"Scottsville","Walton","Monticello","113.01","Poor","Central Air",23,"No"
1280400,4782,11.774,4,4,2007,"Broadus Wood","Journey","Albemarle","102.01","Poor","Central Air",18,"Yes"
357100,1468,0.38,2,2,1988,"Mountain View","Walton","Monticello","113.03","Poor","Central Air",37,"Yes"
103000,1004,2.874,2,1,1940,"Scottsville","Walton","Monticello","114","Poor","No Central Air",85,"No"
158800,900,5.097,2,0,1900,"Brownsville","Henley","Western Albemarle","112.01","Poor","No Central Air",125,"No"
2008600,1838,193.9,3,1,1870,"Ivy","Henley","Western Albemarle","101","Poor","No Central Air",155,"No"
75200,660,2,0,0,1934,"Crozet","Henley","Western Albemarle","101","Poor","No Central Air",91,"No"
186700,1264,2.639,2,1,1900,"Brownsville","Henley","Western Albemarle","111.03","Poor","No Central Air",125,"No"
796600,384,191.57,0,0,1959,"Crozet","Henley","Western Albemarle","101","Poor","No Central Air",66,"No"
340900,2208,6.215,4,1,1754,"Ivy","Henley","Western Albemarle","101","Poor","No Central Air",271,"No"
869500,3560,17.519,4,2,1900,"Stone-Robinson","Burley","Monticello","104.01","Poor","No Central Air",125,"Yes"
232800,732,10.326,3,1,1900,"Red Hill","Walton","Monticello","112.02","Poor","No Central Air",125,"No"
229400,1000,4,3,1,1925,"Stony Point","Burley","Monticello","105.01","Poor","No Central Air",100,"No"
128300,988,2.1,3,1,1972,"Scottsville","Walton","Monticello","114","Poor","No Central Air",53,"No"
138900,924,7,2,1,1954,"Baker-Butler","Lakeside","Albemarle","103.03","Poor","No Central Air",71,"No"
972800,1676,162.87,4,1,1750,"Scottsville","Walton","Monticello","114","Poor","No Central Air",275,"Yes"
118100,1296,1.28,4,1,1973,"Stone-Robinson","Burley","Monticello","104.01","Poor","No Central Air",52,"No"
127200,1152,3.454,3,1,1974,"Red Hill","Walton","Monticello","114","Poor","Central Air",51,"Yes"
297500,1056,0,3,1,1972,"Agnor","Journey","Albemarle","107.02","Fair","No Central Air",53,"No"
450500,2236,0.341,4,2,1989,"Baker-Butler","Lakeside","Albemarle","103.03","Fair","Central Air",36,"Yes"
405000,2134,2.072,4,3,1978,"Murray","Henley","Western Albemarle","110","Fair","Central Air",47,"Yes"
42200,1248,2.33,3,1,1950,"Scottsville","Walton","Monticello","114","Fair","No Central Air",75,"No"
465700,1983,0.372,3,2,1995,"Mountain View","Walton","Monticello","113.01","Fair","Central Air",30,"Yes"
187400,960,2.004,3,1,1975,"Stone-Robinson","Walton","Monticello","113.01","Fair","No Central Air",50,"No"
271500,1408,3.32,3,2,1933,"Red Hill","Walton","Monticello","112.02","Fair","No Central Air",92,"No"
222000,1250,4.38,2,2,1987,"Broadus Wood","Journey","Albemarle","101","Fair","Central Air",38,"No"
152100,1184,2,3,1,1959,"Stone-Robinson","Burley","Monticello","104.01","Fair","Central Air",66,"No"
270600,1598,2.37,4,2,1974,"Red Hill","Walton","Monticello","112.02","Fair","Central Air",51,"Yes"
265100,1176,0.241,4,1,1973,"Baker-Butler","Lakeside","Albemarle","102.01","Fair","No Central Air",52,"No"
960700,2993,0,5,4,1985,"Murray","Henley","Western Albemarle","110","Fair","Central Air",40,"Yes"
206700,1256,0,3,1,1954,"Crozet","Henley","Western Albemarle","111.01","Fair","Central Air",71,"No"
217600,2604,2,3,3,1997,"Red Hill","Walton","Monticello","113.01","Fair","Central Air",28,"No"
192300,958,0.796,3,1,1948,"Scottsville","Walton","Monticello","114","Fair","Central Air",77,"No"
