"yearbuilt","finsqft","cooling","bedroom","fullbath","halfbath","lotsize","totalvalue","esdistrict","msdistrict","hsdistrict","censustract","age","condition","fp"
1939,1596,"No Central Air",3,1,0,55.955,428600,"Broadus Wood","Jouett","Albemarle","101",80,"Fair",0
1981,1616,"No Central Air",6,4,0,5.167,352600,"Broadus Wood","Jouett","Albemarle","101",38,"Average",1
1999,480,"No Central Air",0,0,0,80.75,334100,"Broadus Wood","Jouett","Albemarle","101",20,"Average",0
1754,828,"No Central Air",1,0,0,80.718,340600,"Broadus Wood","Jouett","Albemarle","101",265,"Substandard",0
1880,1224,"No Central Air",2,1,0,65,610100,"Broadus Wood","Jouett","Albemarle","101",139,"Fair",1
1769,4875,"Central Air",4,3,0,5.102,933400,"Crozet","Henley","Western Albemarle","101",250,"Average",1
1818,5573,"Central Air",6,4,1,453.893,2419200,"Crozet","Henley","Western Albemarle","101",201,"Average",1
1935,1120,"No Central Air",3,1,0,266.166,1616800,"Broadus Wood","Jouett","Albemarle","101",84,"Average",0
1880,1458,"Central Air",3,1,0,74.5,578100,"Broadus Wood","Jouett","Albemarle","101",139,"Average",1
2005,1888,"Central Air",3,3,0,5,322300,"Broadus Wood","Jouett","Albemarle","101",14,"Average",1
2004,1512,"Central Air",3,2,1,42.59,574300,"Broadus Wood","Jouett","Albemarle","101",15,"Average",1
2007,1760,"Central Air",3,2,0,5,324300,"Broadus Wood","Jouett","Albemarle","101",12,"Average",1
2006,2019,"Central Air",3,3,0,5,418600,"Broadus Wood","Jouett","Albemarle","101",13,"Average",1
2004,1950,"Central Air",3,3,0,5.5,400200,"Broadus Wood","Jouett","Albemarle","101",15,"Average",1
1995,2562,"Central Air",3,2,1,7.5,427000,"Broadus Wood","Jouett","Albemarle","101",24,"Average",1
1900,1538,"No Central Air",4,1,0,18.5,199000,"Crozet","Henley","Western Albemarle","101",119,"Substandard",0
1960,800,"Central Air",2,1,0,1.5,93600,"Crozet","Henley","Western Albemarle","101",59,"Average",0
1966,975,"Central Air",2,1,0,0.96,124400,"Crozet","Henley","Western Albemarle","101",53,"Average",0
2001,2785,"Central Air",3,2,0,2.963,302100,"Crozet","Henley","Western Albemarle","101",18,"Average",1
1972,960,"No Central Air",2,1,0,40,382100,"Crozet","Henley","Western Albemarle","101",47,"Average",1
1932,3315,"Central Air",4,4,0,5,528600,"Meriwether Lewis","Henley","Western Albemarle","101",87,"Excellent",0
1998,1118,"Central Air",1,2,0,30,466400,"Crozet","Henley","Western Albemarle","101",21,"Average",1
2008,1150,"Central Air",2,2,1,22.143,525900,"Crozet","Henley","Western Albemarle","101",11,"Average",1
1982,1620,"No Central Air",4,2,0,5.627,231000,"Crozet","Henley","Western Albemarle","101",37,"Average",1
1900,1104,"No Central Air",3,1,0,5.04,74200,"Crozet","Henley","Western Albemarle","101",119,"Substandard",0
1996,671,"Central Air",2,1,0,12.3,371600,"Crozet","Henley","Western Albemarle","101",23,"Average",1
1940,618,"No Central Air",1,1,0,3.67,109500,"Crozet","Henley","Western Albemarle","101",79,"Fair",1
1936,864,"No Central Air",2,0,0,211,914000,"Crozet","Henley","Western Albemarle","101",83,"Average",1
1994,1648,"Central Air",4,4,1,34.8,723000,"Crozet","Henley","Western Albemarle","101",25,"Average",1
2006,1916,"Central Air",3,2,1,14.85,436700,"Crozet","Henley","Western Albemarle","101",13,"Average",1
1895,952,"No Central Air",3,1,0,6,135100,"Crozet","Henley","Western Albemarle","101",124,"Fair",1
1986,1152,"Central Air",3,2,0,2,151600,"Crozet","Henley","Western Albemarle","101",33,"Average",0
1960,1272,"No Central Air",4,1,0,2.045,151400,"Crozet","Henley","Western Albemarle","101",59,"Poor",1
1950,884,"No Central Air",3,1,0,1.892,94400,"Crozet","Henley","Western Albemarle","101",69,"Fair",0
1987,1568,"Central Air",3,2,0,13.28,346300,"Crozet","Henley","Western Albemarle","101",32,"Average",1
1983,1184,"Central Air",1,1,0,23.12,202700,"Crozet","Henley","Western Albemarle","101",36,"Average",1
